,code,title,time,sdate,grade,audience,summary,thumb
0,187321,1917,119,2,15세 관람가,752044,"두 명의 병사, 하나의 미션!
그들이 싸워야 할 것은 적이 아니라 시간이었다!",https://movie-phinf.pstatic.net/20200212_161/1581489520959v0cjn_JPEG/movie_image.jpg?type=m99_141_2
1,190568,엽문4: 더 파이널,105,2,12세 관람가,48749,"이제 마지막을 함께 할 시간
아낌없이 불태운다!",https://movie-phinf.pstatic.net/20200318_287/1584493653014a67Qy_JPEG/movie_image.jpg?type=m99_141_2
2,167637,주디,118,2,12세 관람가,79837,,https://movie-phinf.pstatic.net/20200313_59/1584086196479WLA9j_JPEG/movie_image.jpg?type=m99_141_2
3,183991,오픈 더 도어,89,2,15세 관람가,8245,"사라진 아들, 뒤바뀐 아이…
흔들리지 마라!
절대, 사랑에 빠지지 마라!",https://movie-phinf.pstatic.net/20200324_146/1585014840962Mfk9w_JPEG/movie_image.jpg?type=m99_141_2
4,193135,n번째 이별중,104,2,12세 관람가,17204,"“오늘 좀 만나, 할 말이 있어….”",https://movie-phinf.pstatic.net/20200409_56/1586421474145EFc31_JPEG/movie_image.jpg?type=m99_141_2
5,189001,인비저블맨,124,2,15세 관람가,563464,,https://movie-phinf.pstatic.net/20200221_216/1582251798358N3QEz_JPEG/movie_image.jpg?type=m99_141_2
6,134963,라라랜드,127,2,12세 관람가,3637991,"황홀한 사랑, 순수한 희망, 격렬한 열정… 
이 곳에서 모든 감정이 폭발한다!",https://movie-phinf.pstatic.net/20161123_188/1479862185516tYkKO_JPEG/movie_image.jpg?type=m99_141_2
7,172826,더 터닝,94,2,15세 관람가,14537,,https://movie-phinf.pstatic.net/20200318_56/1584518061899Uss3Y_JPEG/movie_image.jpg?type=m99_141_2
8,183402,신과 나: 100일간의 거래,136,2,15세 관람가,4715,,https://movie-phinf.pstatic.net/20200409_192/1586412239119iecKw_JPEG/movie_image.jpg?type=m99_141_2
9,181065,사랑이 뭘까,124,2,15세 관람가,2052,,https://movie-phinf.pstatic.net/20200324_154/1585025313550EtobP_JPEG/movie_image.jpg?type=m99_141_2
10,182015,스케어리 스토리: 어둠의 속삭임,108,2,15세 관람가,41739,책이 펼쳐지면 끔찍한 판타지 세상이 열린다!,https://movie-phinf.pstatic.net/20200327_109/1585284130310K3uw4_JPEG/movie_image.jpg?type=m99_141_2
11,186613,작은 아씨들,135,2,전체 관람가,858064,"Dear women
그해 겨울, 사랑스러운 자매들을 만났다",https://movie-phinf.pstatic.net/20200309_102/1583733575200NVLwA_JPEG/movie_image.jpg?type=m99_141_2
12,179181,지푸라기라도 잡고 싶은 짐승들,108,2,청소년 관람불가,623445,,https://movie-phinf.pstatic.net/20200211_156/1581402209718zyQ9B_JPEG/movie_image.jpg?type=m99_141_2
13,181286,바이올렛 에버가든 - 영원과 자동 수기 인형 -,91,2,전체 관람가,9144,,https://movie-phinf.pstatic.net/20200302_156/1583116319583zwqoe_JPEG/movie_image.jpg?type=m99_141_2
14,190728,다크 워터스,127,2,12세 관람가,126957,"인류의 99%는 이미 중독되었다
<스포트라이트> 제작진의 충격 고발 실화",https://movie-phinf.pstatic.net/20200219_277/15820765775925k14P_JPEG/movie_image.jpg?type=m99_141_2
15,186821,정직한 후보,104,2,12세 관람가,1534063,"어제까진 뻥쟁이, 오늘부턴 정직한 후보?!",https://movie-phinf.pstatic.net/20200121_186/1579570188386BXMMG_JPEG/movie_image.jpg?type=m99_141_2
16,189624,찬실이는 복도 많지,96,2,전체 관람가,23315,“아 망했다. 왜 그리 일만 하고 살았을꼬?”,https://movie-phinf.pstatic.net/20200214_123/1581659934908mAoGh_JPEG/movie_image.jpg?type=m99_141_2
17,177462,핀란드 메탈밴드,90,2,15세 관람가,875,,https://movie-phinf.pstatic.net/20200403_262/1585890481890pBF7E_JPEG/movie_image.jpg?type=m99_141_2
18,137974,기도의 힘,120,2,12세 관람가,839,"진짜 적과 싸우는 유일한 전략
기도는, 우리의 가장 강력한 무기다!",https://movie-phinf.pstatic.net/20200330_256/15855460910129BFd2_JPEG/movie_image.jpg?type=m99_141_2
19,181114,날씨의 아이,112,2,15세 관람가,674071,"“이제 비는 그치고, 우리의 세상이 빛나기 시작할 거야”",https://movie-phinf.pstatic.net/20190916_49/1568614827948hyiXA_JPEG/movie_image.jpg?type=m99_141_2
20,185150,이장,94,2,12세 관람가,3598,“장남이 무슨 벼슬이야?!”,https://movie-phinf.pstatic.net/20200310_275/1583820865612VfIMX_JPEG/movie_image.jpg?type=m99_141_2
21,185423,공수도,112,2,15세 관람가,0,,https://movie-phinf.pstatic.net/20200218_234/1581990954625bPxTq_JPEG/movie_image.jpg?type=m99_141_2
22,150198,너의 이름은.,106,2,12세 관람가,3724727,,https://movie-phinf.pstatic.net/20171222_70/1513920001726sikUX_JPEG/movie_image.jpg?type=m99_141_2
23,70121,페임,122,2,12세 관람가,642790,,https://movie-phinf.pstatic.net/20200227_297/1582779281613g2nEW_JPEG/movie_image.jpg?type=m99_141_2
24,186220,다니엘 이즌 리얼,100,2,청소년 관람불가,631,,https://movie-phinf.pstatic.net/20200324_33/1585014597448X0IWf_JPEG/movie_image.jpg?type=m99_141_2
25,176738,온다,134,2,15세 관람가,5252,절대 이름을 말하지도 불리지도 마라!,https://movie-phinf.pstatic.net/20200302_77/1583113976085kgJT8_JPEG/movie_image.jpg?type=m99_141_2
26,190632,시원찮은 그녀를 위한 육성방법 피날레,114,2,12세 관람가,19418,,https://movie-phinf.pstatic.net/20200115_83/1579075630892Dh10J_JPEG/movie_image.jpg?type=m99_141_2
27,152646,시체들의 새벽: 컨테이젼,90,2,청소년 관람불가,492,,https://movie-phinf.pstatic.net/20200325_189/1585099132377gQMUJ_JPEG/movie_image.jpg?type=m99_141_2
28,168050,스타 이즈 본,135,2,15세 관람가,525460,"나도 몰랐던 내 안의 빛을 찾아낸 그대
우리 모습 이대로 영원히 기억할 거야…",https://movie-phinf.pstatic.net/20180912_118/1536714294340kLm2Y_JPEG/movie_image.jpg?type=m99_141_2
